ID,UNIVERSIDAD,ID_universidad,date_created,date_modified,q0001,q0002,q0003,q0004,q0005,q0006,q0007_0001,q0007_0002,q0007_0003,q0007_0004,q0007_0005,q0007_other,q0008,q0010,q0011,q0012,q0013,q0014,q0015_0001,q0015_0002,q0015_0003,q0015_0004,q0015_0005,q0015_0006,q0015_0007,q0015_other,q0016,q0017,q0018rc,q0018,q0019,q0020_0001,q0020_0002,q0020_0003,q0020_0004,q0020_0005,q0020_0006,q0020_0007,q0020_0008,q0020_0009,q0020_other,q0021_0001,q0021_0002,q0021_0003,q0021_0004,q0021_0005,q0021_0006,q0021_0007,q0021_0008,q0022_0001,q0022_0002,q0022_0003,q0022_0004,q0022_0005,q0022_0006,q0022_0007,q0022_0008,q0022_0009,q0022_0010,q0022_0011,q0022_0012,q0022_0013,q0023_0001,q0023_0002,q0023_0003,q0023_0004,q0023_0005,q0023_0006,q0023_0007,q0023_0008,q0023_0009,q0023_0010,q0023_0011,q0023_other,q0024_0001,q0024_0002,q0024_0003,q0024_0004,q0024_0005,q0024_0006,q0024_0007,q0024_0008,q0024_0009,q0024_0010,q0024_0011,q0024_0012,q0024_0013,q0024_0014,q0024_other,q0025_0001,q0025_0002,q0025_0003,q0025_0004,q0025_0005,q0025_0006,q0025_0007,q0025_0008,q0025_0009,q0025_0010,q0025_0011,q0025_0012,q0025_0013,q0025_0014,q0025_0015,q0025_0016,q0025_0017,q0026_0001,q0026_0002,q0026_0003,q0026_0004,q0026_0005,q0026_0006,q0026_0007,q0026_0008,q0026_0009,q0026_0010,q0026_0011,q0026_0012,q0026_0013,q0027_0001,q0027_0002,q0027_0003,q0027_0004,q0027_0005,q0027_0006,q0027_0007,q0027_0008,q0027_0009,q0027_0010,q0027_0011,q0027_0012,q0027_0013,q0027_0014,q0027_0015,q0027_0016,q0027_0017,q0027_0018,q0028_0001,q0028_0002,q0028_0003,q0028_0004,q0028_0005,q0028_0006,q0028_0007,q0028_0008,q0028_0009,q0028_0010,q0028_other,duelo
23,1,23,02/02/2023 11:53:27 AM,02/02/2023 12:05:36 PM,1,1,1,1,5,9,1,0,0,,0,"",9,2,2,2,2,2,1,1,1,0,0,,0,"",2,2,2,2,17,0,0,1,0,0,0,0,,0,"",1,4,3,4,4,2,2,5,3,5,,4,4,4,3,4,4,4,3,3,4,0,0,1,0,1,1,0,0,0,,0,"",1,1,1,0,0,0,0,1,0,0,0,0,,0,"",4,4,4,1,2,2,3,2,2,1,2,3,3,3,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",1
24,1,24,01/31/2023 08:16:20 PM,01/31/2023 08:20:07 PM,1,1,2,2,1,9,1,0,0,,0,"",32,2,2,2,2,2,0,1,1,1,0,,0,"",1,2,2,2,7,0,0,0,0,1,0,0,,0,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",1
26,1,26,01/31/2023 04:08:56 PM,01/31/2023 04:11:36 PM,1,1,2,2,3,9,1,0,0,,0,"",9,6,1,2,1,2,1,0,0,1,0,,0,"",2,1,2,2,13,0,0,0,0,1,0,0,,0,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",1
27,1,27,01/31/2023 01:00:18 PM,01/31/2023 01:01:41 PM,1,1,1,1,5,10,1,0,0,,0,"",9,8,1,1,2,2,1,1,0,1,0,,0,"",2,1,1,1,21,0,0,0,0,1,0,0,,0,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",1
28,1,28,01/30/2023 07:36:17 PM,01/30/2023 07:51:32 PM,1,1,2,2,2,9,1,0,0,,0,"",9,6,2,2,2,2,0,1,0,1,0,,0,"",2,2,1,1,27,0,0,1,0,0,0,0,,0,"",5,5,5,4,5,5,2,4,4,4,2,5,4,3,5,5,3,4,5,4,4,1,1,1,1,1,1,1,1,0,,0,"",0,0,1,0,0,0,0,1,0,0,0,0,,0,"",2,1,2,1,3,2,4,2,2,1,2,2,1,2,4,2,2,2,1,2,3,3,1,4,1,1,1,1,1,1,5,2,2,5,2,2,5,2,1,2,5,2,5,3,5,2,1,5,0,0,0,0,0,0,0,1,,0,"",1
29,1,29,01/30/2023 12:58:23 PM,01/30/2023 01:11:54 PM,1,1,1,1,10,9,1,0,0,,0,"",9,6,2,2,2,2,1,1,1,0,0,,0,"",2,2,3,3,1,0,0,0,0,1,1,0,,0,"",5,4,5,3,3,4,4,4,4,5,5,5,5,5,4,5,5,5,5,5,5,0,0,1,0,0,0,0,0,0,,0,"",0,0,1,1,1,1,0,0,0,0,1,0,,0,"",3,1,2,3,4,4,1,2,1,4,2,2,1,4,4,2,3,3,2,3,1,1,2,2,1,1,1,1,1,1,5,3,5,5,4,3,4,5,4,4,5,3,5,2,4,4,2,3,0,0,0,0,0,0,0,1,,0,"",1
31,1,31,01/28/2023 09:02:14 AM,01/28/2023 03:18:01 PM,1,1,2,2,1,9,1,0,0,,0,"",9,2,2,1,1,2,0,1,0,1,0,,0,"",2,1,1,1,11,0,0,0,0,1,0,0,,0,"",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,0,0,0,0,1,0,0,0,,0,"",0,0,0,0,1,0,0,0,0,0,0,0,,0,"",3,2,1,1,2,3,2,1,1,1,3,3,1,1,1,1,1,4,4,4,5,5,5,5,5,5,4,5,5,4,2,4,2,4,4,4,4,2,3,2,4,2,4,3,4,3,2,2,0,0,0,0,0,0,0,1,,0,"",1
32,1,32,01/27/2023 08:39:41 PM,01/27/2023 08:54:04 PM,1,1,2,2,2,9,1,0,0,,0,"",9,2,1,1,2,2,0,1,1,1,0,,0,"",2,2,2,2,8,0,0,0,0,1,0,0,,0,"",4,4,4,3,3,2,1,3,4,4,2,5,4,3,3,5,2,4,3,3,4,0,0,0,0,1,0,0,0,0,,0,"",,,,,,,,,,,,,1,,"",3,2,4,1,2,3,1,3,1,1,1,1,2,2,1,1,3,1,3,1,5,4,5,5,1,1,1,1,1,4,2,4,3,5,3,3,5,1,2,2,5,2,5,4,5,3,3,3,0,0,0,0,0,0,0,1,,0,"",1
36,1,36,01/25/2023 12:17:55 PM,01/25/2023 12:30:45 PM,1,1,2,2,1,23,1,0,0,,0,"",8,4,2,2,2,2,1,0,0,1,0,,0,"",2,2,3,3,19,1,0,1,0,0,0,0,,0,"",4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,1,1,1,1,1,1,1,1,0,,0,"",1,0,1,0,0,0,1,0,1,1,0,0,,0,"",4,1,3,3,4,4,1,1,1,1,1,2,2,2,4,2,1,4,1,1,1,3,2,3,1,2,1,1,1,1,4,3,5,1,5,3,4,2,2,5,5,1,5,5,,1,1,1,0,0,1,0,0,0,0,0,,0,"",1
39,1,39,01/23/2023 05:36:19 PM,01/23/2023 05:46:23 PM,1,1,2,2,5,9,1,0,0,,0,"",9,10,2,2,1,2,1,1,0,0,0,,0,"",2,2,1,1,27,0,1,0,0,0,0,0,,0,"",4,4,2,4,3,3,2,5,4,4,3,5,5,4,3,5,3,,4,3,4,1,0,1,1,0,0,0,0,0,,0,"",0,1,1,0,1,1,0,1,0,1,0,0,,0,"",3,3,4,1,2,2,2,3,1,1,2,3,3,1,1,2,2,5,1,1,5,5,4,5,4,4,1,1,2,4,4,5,3,5,4,5,5,2,2,1,5,1,5,3,4,2,2,2,0,0,1,0,0,0,0,0,,0,"",1
42,1,42,01/22/2023 09:26:14 AM,01/22/2023 09:41:14 AM,1,1,1,1,4,12,1,0,0,,0,"",12,4,2,1,2,2,1,1,0,0,0,,0,"",1,2,6,6,13,0,0,0,1,1,0,1,,0,"",5,4,4,5,5,5,4,4,3,3,2,3,3,3,2,2,2,3,3,3,4,1,0,1,0,0,0,0,0,0,,0,"",1,1,1,0,1,0,0,1,0,0,0,0,,0,"",2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,3,3,3,4,4,4,4,4,4,4,3,4,4,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,1,,0,"",1
46,1,46,01/20/2023 11:36:22 AM,01/20/2023 12:47:31 PM,1,1,2,2,3,9,1,0,0,,0,"",9,8,2,1,1,2,1,1,0,1,0,,0,"",2,1,1,1,18,0,0,1,0,1,0,1,,0,"",3,5,4,5,4,4,4,5,4,5,3,4,4,3,2,2,2,5,4,2,3,0,1,0,1,1,1,1,0,0,,0,Debido a la pandemia solo dejaron entrar a 10 personas al cementerio por lo que yo no pude entrar a despedirme y ver el entierro,0,0,0,0,0,0,0,1,0,0,0,0,,0,"",2,2,4,1,1,3,1,1,1,2,4,4,4,1,2,2,3,5,5,1,3,4,5,4,5,3,3,1,1,1,4,3,1,5,5,3,5,1,2,2,5,3,5,3,5,3,3,3,0,0,0,0,0,0,0,1,,0,"",1
52,1,52,01/18/2023 04:54:14 PM,01/18/2023 05:13:50 PM,1,1,2,2,5,9,1,0,0,,0,"",9,2,2,2,2,2,1,0,0,0,0,,0,"",2,2,1,1,13,0,0,1,0,0,0,0,,0,"",2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,1,,0,"",0,0,0,0,1,0,0,0,0,0,0,0,,0,"",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,1,,0,"",1
56,1,56,01/17/2023 11:48:14 PM,01/17/2023 11:54:27 PM,1,1,2,2,2,9,1,0,0,,0,"",9,4,1,1,1,2,1,0,0,0,0,,0,"",2,1,1,1,1,0,0,0,0,1,0,0,,0,"",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,0,0,0,0,0,0,,0,"",0,0,0,0,0,0,0,0,0,0,0,1,,0,"",2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5,1,5,5,4,1,1,1,1,5,,,0,0,0,0,0,0,0,1,,0,"",1
61,1,61,01/17/2023 02:39:56 PM,01/17/2023 03:09:33 PM,1,1,2,2,3,9,1,0,0,,0,"",9,8,1,1,1,2,0,0,0,0,1,,0,"",2,1,1,1,27,0,0,0,0,1,0,0,,0,"",1,1,2,1,1,1,1,1,1,2,1,4,1,1,1,3,1,3,1,1,1,,,,,,,,,,,,"",,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",1
63,1,63,01/17/2023 08:49:55 AM,01/17/2023 08:54:15 AM,1,1,2,2,5,26,1,0,0,,0,"",9,12,2,2,2,2,0,1,0,1,0,,0,"",2,1,2,2,7,0,0,0,0,1,0,1,,0,"",4,3,2,2,4,5,3,5,4,4,3,4,4,3,4,3,3,4,4,3,3,,,,,,,,,,1,,"",0,0,1,0,0,0,0,0,0,0,0,0,,0,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",1
64,1,64,01/16/2023 06:19:02 PM,01/16/2023 06:42:44 PM,1,1,2,2,7,9,1,0,0,,0,"Padre,madre,hermana(o)",9,12,2,3,2,2,1,0,1,0,0,,0,"",2,2,3,3,11,0,0,1,0,1,0,1,,0,"",3,4,4,4,3,3,2,3,4,4,3,5,4,3,4,5,3,4,4,3,5,1,1,1,0,1,1,0,1,0,,0,"",0,0,1,0,0,0,1,1,1,1,0,0,,0,"",3,1,2,,2,2,2,2,1,1,2,3,2,3,4,1,1,4,3,3,3,4,1,2,1,1,1,1,1,2,5,4,3,4,3,3,4,3,2,2,4,2,4,3,3,3,3,3,0,0,0,0,0,0,0,1,,0,"",1
65,1,65,01/16/2023 03:26:07 PM,01/16/2023 03:32:11 PM,1,1,2,2,1,9,1,0,0,,0,"",9,4,2,2,2,2,0,1,0,0,0,,0,"",2,2,7,7,1,0,0,0,0,1,0,0,,0,"",3,4,4,4,4,4,3,4,4,4,4,5,4,4,4,4,4,4,3,3,3,1,0,1,1,1,1,0,1,0,,0,"",0,0,0,0,1,1,0,0,1,0,0,0,,0,"",3,3,3,1,2,3,2,2,3,3,3,3,3,3,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",1
66,1,66,01/16/2023 01:32:46 PM,01/16/2023 01:44:52 PM,1,1,2,2,5,9,1,0,0,,0,"",23,8,1,1,2,2,0,1,0,1,0,,0,"",1,2,,0,1,,,,,,,,1,,"",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,1,,"",0,0,0,0,0,0,0,0,0,0,0,1,,0,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,,0,"",1
67,1,67,01/16/2023 10:53:39 AM,01/16/2023 11:15:05 AM,1,1,1,1,16,9,1,0,0,,0,"",9,10,2,2,2,2,1,0,0,0,0,,0,"",2,1,2,2,23,0,0,1,0,1,0,0,,0,"",3,3,3,4,3,4,3,3,3,4,4,4,4,3,3,4,3,4,4,3,3,1,1,1,1,1,0,0,0,0,,0,"",0,0,0,0,1,0,1,1,1,1,0,0,,0,"",3,2,3,1,2,3,1,2,2,1,2,2,2,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",1
69,1,69,01/16/2023 09:22:46 AM,01/16/2023 09:54:14 AM,1,1,1,1,10,9,1,0,0,,0,"",9,13,1,1,2,2,0,0,0,1,0,,0,"",2,2,1,1,25,0,0,0,0,1,0,0,,0,"",,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,,0,"",,,,,,,,,,,,,1,,"",,,,,,,,,,,,,,,,,,4,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"",1
73,1,73,01/15/2023 02:44:55 PM,01/15/2023 02:59:24 PM,1,1,2,2,1,26,1,0,0,,0,"",26,2,1,1,2,2,1,1,1,1,0,,0,"",2,2,3,3,6,0,0,0,0,1,0,0,,0,"",1,2,1,1,1,1,1,1,3,5,1,2,4,2,1,2,1,4,2,1,1,0,0,0,0,0,0,0,0,1,,0,"",0,0,0,0,1,1,0,1,0,0,0,0,,0,"",2,1,2,1,2,1,1,1,1,2,2,1,1,1,1,1,1,5,1,3,1,1,1,1,1,1,1,1,1,1,1,2,1,4,3,1,5,3,5,3,5,3,3,1,5,3,1,2,0,0,0,0,0,0,0,1,,0,"",1
75,1,75,01/15/2023 12:30:48 AM,01/15/2023 12:33:48 AM,1,1,1,1,4,9,1,0,0,,0,"",9,8,1,1,2,2,1,1,0,1,0,,0,"",2,2,1,1,16,0,0,0,0,1,0,0,,0,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",1
